game,date,opponent,b1,b2,b3,b4,b5,b6,b7,b8,b9,catcher,dh,notes,confidence,source
Regional Final G2,2026-06-01,Georgia Tech,Walk CF,C.Johnson 3B,Lachance C,Willits SS,Gambill DH,Brock LF,Harris RF,Tockey 1B,Branch 2B,Lachance,Gambill,Tockey walk-off HR from 8-hole,CONFIRMED,ESPN box 401873796
CWS G1,2026-06-13,Alabama,Walk CF,C.Johnson 3B,Lachance C,Willits SS,Gambill DH,Brock LF,Harris RF,Tockey 1B,Branch 2B,Lachance,Gambill,Tockey already 8th,CONFIRMED,ESPN box 401874399
CWS G2,2026-06-15,Georgia,Walk CF,C.Johnson 3B,Lachance C,Willits SS,Gambill DH,Brock LF,Harris RF,Tockey 1B,Branch 2B,Lachance,Gambill,no change,CONFIRMED,ESPN box 401874444
CWS G3,2026-06-17,Georgia,Walk CF,C.Johnson 3B,Lachance C,Willits SS,Gambill DH,Brock LF,Harris RF,Tockey 1B,Branch 2B,Lachance,Gambill,no change (5-HR game),CONFIRMED,ESPN box 401874448
CWS Finals G1,2026-06-20,North Carolina,Walk CF,C.Johnson 3B,Lachance C,Willits SS,Gambill DH,Brock LF,Harris RF,Tockey 1B,Branch 2B,Lachance,Gambill,no change,CONFIRMED,ESPN box 401874451
CWS Finals G2,2026-06-21,North Carolina,Walk CF,C.Johnson 3B,Lachance C,Willits SS,Gambill DH,Brock LF,Harris RF,Tockey 1B,Branch 2B,Lachance,Gambill,no change; held to 4 H 0 HR,CONFIRMED,ESPN box 401874452
