season,off_plays,off_epa_play,off_epa_rank,off_success,off_success_rank,n_teams,def_plays,def_epa_play,def_epa_rank,def_success,def_success_rank,off_plays_cg,off_epa_play_cg,off_epa_rank_cg,off_success_cg,off_success_rank_cg,n_teams_cg,def_plays_cg,def_epa_play_cg,def_epa_rank_cg,def_success_cg,def_success_rank_cg,confidence,source,note
2021,1086,0.2106,3,0.4742,7,130,1167,0.0433,81,0.3959,42,1023,0.1873,5,0.4673,10,130,1167,0.0433,81,0.3959,45,REPORTED,"https://github.com/sportsdataverse/sportsdataverse-data/releases/download/espn_cfb_pbp/play_by_play_2021.parquet (sportsdataverse-data ESPN play-by-play release asset, the same data cfbfastR's load_espn_cfb_pbp() reads; no API key)","EPA and success rate are NOT opponent-adjusted — OU played a top-15 schedule in 2024 and 2025, so these ranks understate it against adjusted systems like SP+. '_cg' columns remove garbage time by the Connelly thresholds (lead > 43/37/27/21 by quarter). Teams below 300 plays are excluded from ranking."
2022,1048,0.0664,46,0.4246,45,131,1167,0.0607,100,0.4379,113,966,0.0719,39,0.4296,37,131,1101,0.0579,99,0.4378,114,REPORTED,"https://github.com/sportsdataverse/sportsdataverse-data/releases/download/espn_cfb_pbp/play_by_play_2022.parquet (sportsdataverse-data ESPN play-by-play release asset, the same data cfbfastR's load_espn_cfb_pbp() reads; no API key)","EPA and success rate are NOT opponent-adjusted — OU played a top-15 schedule in 2024 and 2025, so these ranks understate it against adjusted systems like SP+. '_cg' columns remove garbage time by the Connelly thresholds (lead > 43/37/27/21 by quarter). Teams below 300 plays are excluded from ranking."
2023,1173,0.1622,9,0.4595,11,133,1169,-0.0377,30,0.3704,19,1048,0.1448,10,0.4552,9,133,1169,-0.0377,32,0.3704,21,REPORTED,"https://github.com/sportsdataverse/sportsdataverse-data/releases/download/espn_cfb_pbp/play_by_play_2023.parquet (sportsdataverse-data ESPN play-by-play release asset, the same data cfbfastR's load_espn_cfb_pbp() reads; no API key)","EPA and success rate are NOT opponent-adjusted — OU played a top-15 schedule in 2024 and 2025, so these ranks understate it against adjusted systems like SP+. '_cg' columns remove garbage time by the Connelly thresholds (lead > 43/37/27/21 by quarter). Teams below 300 plays are excluded from ranking."
2024,1035,-0.0296,117,0.3932,102,140,1019,-0.0676,13,0.3562,5,959,-0.0461,119,0.3879,108,139,1015,-0.0712,12,0.3537,4,REPORTED,"https://github.com/sportsdataverse/sportsdataverse-data/releases/download/espn_cfb_pbp/play_by_play_2024.parquet (sportsdataverse-data ESPN play-by-play release asset, the same data cfbfastR's load_espn_cfb_pbp() reads; no API key)","EPA and success rate are NOT opponent-adjusted — OU played a top-15 schedule in 2024 and 2025, so these ranks understate it against adjusted systems like SP+. '_cg' columns remove garbage time by the Connelly thresholds (lead > 43/37/27/21 by quarter). Teams below 300 plays are excluded from ranking."
2025,1121,-0.0013,100,0.4068,86,138,1155,-0.1292,6,0.3238,2,1050,-0.0134,102,0.3981,94,138,1155,-0.1292,6,0.3238,3,REPORTED,"https://github.com/sportsdataverse/sportsdataverse-data/releases/download/espn_cfb_pbp/play_by_play_2025.parquet (sportsdataverse-data ESPN play-by-play release asset, the same data cfbfastR's load_espn_cfb_pbp() reads; no API key)","EPA and success rate are NOT opponent-adjusted — OU played a top-15 schedule in 2024 and 2025, so these ranks understate it against adjusted systems like SP+. '_cg' columns remove garbage time by the Connelly thresholds (lead > 43/37/27/21 by quarter). Teams below 300 plays are excluded from ranking."
